,house_links,house_type,house_price,address,area,bedrooms,parking_space,latitude,longitude
413,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-3-quartos-130m2/xwi7tj,Apartamento,1500000,"R. da Consolação, Jardim América",130,3,1,-23.5608361,-46.6684586
414,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-3-quartos-126m2/ygaxlo,Apartamento,1080000,"R. da Consolação, Jardim América",126,3,0,-23.5599687,-46.6673977
415,https://loft.com.br/imovel/apartamento-alameda-jau-jardim-america-sao-paulo-1-quarto-34m2/yqo1rg,Conjugado,636000,"Alameda Jaú, Jardim América",34,1,1,-23.559149,-46.6621006
416,https://loft.com.br/imovel/apartamento-alameda-franca-jardim-america-sao-paulo-4-quartos-310m2/rzbu0u,Apartamento,3700000,"Alameda Franca, Jardim América",310,4,2,-23.5631084,-46.6619273
417,https://loft.com.br/imovel/apartamento-alameda-itu-jardim-america-sao-paulo-3-quartos-105m2/tp0ac9,Apartamento,1350000,"Alameda Itu, Jardim América",105,3,2,-23.5579018,-46.6663075
418,https://loft.com.br/imovel/apartamento-alameda-jau-jardim-america-sao-paulo-1-quarto-43m2/14vx9kv,Apartamento,480000,"Alameda Jaú, Jardim América",43,1,1,-23.559149,-46.6621006
419,https://loft.com.br/imovel/apartamento-alameda-ministro-rocha-azevedo-jardim-america-sao-paulo-3-quartos-180m2/1585lg2,Conjugado,2200000,"Alameda Ministro Rocha Azevedo, Jardim América",180,3,4,-23.5622,-46.6603542
420,https://loft.com.br/imovel/apartamento-rua-melo-alves-jardim-america-sao-paulo-4-quartos-375m2/162gz2u,Apartamento,6750000,"R. Melo Alves, Jardim América",375,4,3,-23.5625083,-46.671834
421,https://loft.com.br/imovel/apartamento-alameda-lorena-jardim-america-sao-paulo-3-quartos-180m2/16cm9t2,Apartamento,2500000,"Alameda Lorena, Jardim América",180,3,1,-23.5656777,-46.6638923
422,https://loft.com.br/imovel/apartamento-alameda-casa-branca-jardim-america-sao-paulo-4-quartos-266m2/1796ey6,Apartamento,2950000,"Alameda Casa Branca, Jardim América",266,4,2,-23.5670899,-46.6612204
423,https://loft.com.br/imovel/apartamento-rua-haddock-lobo-jardim-america-sao-paulo-3-quartos-160m2/17znmi4,Apartamento,2350000,"R. Haddock Lobo, Jardim América",160,3,1,-23.5614919,-46.6655228
424,https://loft.com.br/imovel/apartamento-alameda-lorena-jardim-america-sao-paulo-3-quartos-100m2/18xx8im,Apartamento,1100000,"Alameda Lorena, Jardim América",100,3,1,-23.5653079,-46.6644368
