house_links,house_type,house_price,address,area,bedrooms,parking_space,latitude,longitude
https://loft.com.br/imovel/apartamento-rua-jose-maria-lisboa-jardim-america-sao-paulo-3-quartos-137m2/101r6vc,Apartamento,1450000,"R. José Maria Lisboa, Jardim América",137,3,0,-23.5657504,-46.6607026
https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-1-quarto-26m2/11kwjny,Conjugado,367000,"R. da Consolação, Jardim América",26,1,1,-23.5600355,-46.6671196
https://loft.com.br/imovel/apartamento-alameda-franca-jardim-america-sao-paulo-3-quartos-113m2/11vhzes,Apartamento,1160000,"Alameda Franca, Jardim América",113,3,1,-23.5637847,-46.6610722
https://loft.com.br/imovel/apartamento-rua-bela-cintra-jardim-america-sao-paulo-3-quartos-145m2/14gg490,Apartamento,1690000,"R. Bela Cintra, Jardim América",145,3,2,-23.5599256,-46.6653576
https://loft.com.br/imovel/apartamento-rua-peixoto-gomide-jardim-america-sao-paulo-3-quartos-227m2/16dn0gv,Apartamento,7750000,"R. Peixoto Gomide, Jardim América",227,3,4,-23.56459999,-46.66077003
https://loft.com.br/imovel/apartamento-alameda-jau-jardim-america-sao-paulo-1-quarto-25m2/16wgn9,Studio,450000,"Alameda Jaú, Jardim América",25,1,1,-23.559149,-46.6621006
https://loft.com.br/imovel/apartamento-alameda-jau-jardim-america-sao-paulo-studio-110m2/17ilq0k,Apartamento,1000000,"Alameda Jaú, Jardim América",110,0,1,-23.5586217,-46.6630134
https://loft.com.br/imovel/apartamento-alameda-jau-jardim-america-sao-paulo-3-quartos-115m2/18fame3,Apartamento,1600000,"Alameda Jaú, Jardim América",115,3,2,-23.5580985,-46.6643247
https://loft.com.br/imovel/apartamento-rua-oscar-freire-jardim-america-sao-paulo-3-quartos-184m2/1aupqcs,Apartamento,3500000,"R. Oscar Freire, Jardim América",184,3,2,-23.5634031,-46.6685161
https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-2-quartos-107m2/1axas9f,Apartamento,1600000,"R. da Consolação, Jardim América",107,2,1,-23.5575139,-46.6651038
